"years","jugador","edad","g","pa","ab","r","h","2b","3b","hr","rbi","sb","cs","bb","so","avg","obp","slg","ops","rc","tb","xb","hbp","sh","sf","refuerzo","resultado"
"1986-87","A. Pedrique",26,4,,17,0,3,0,0,0,0,0,,,,176,,176,0,,3,0,,,,"NO","subcampeon"
"1985-86","A. Pedrique",25,7,,29,3,8,1,0,0,6,0,,,,276,,0.31,0,,9,1,,,,"NO","campeon"
"1984-85","A. Pedrique",24,3,,9,3,2,0,0,0,2,0,,,,222,,222,0,,2,0,,,,"NO","campeon"
"1966-67","A. Ortiz",21,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1965-66","A. Ortiz",20,3,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1970-71","A. Monteagudo",27,4,,5,1,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1968-69","A. Monteagudo",25,2,,2,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1964-65","A. Ferrara",25,2,,7,1,1,0,0,0,0,1,,,,143,,143,0,,1,0,,,,"NO","campeon"
"1986-87","A. Espinoza",21,2,,2,0,1,0,0,0,0,0,,,,0.5,,0.5,0,,1,0,,,,"NO","subcampeon"
"1985-86","A. Espinoza",20,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1968-69","A. Corro",20,1,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1971-72","A. Correa",23,3,,1,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1970-71","A. Correa",22,4,,1,1,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1969-70","A. Correa",21,1,,1,0,1,1,0,0,0,0,,,,1,,2,0,,2,1,,,,"NO","subcampeon"
"1968-69","A. Correa",20,2,,4,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","campeon"
"1985-86","A. Cordova",24,2,,7,0,1,0,0,0,2,0,,,,143,,143,0,,1,0,,,,"NO","campeon"
"2011-12","A. Cabrera",40,5,20,18,0,4,0,0,0,1,0,0,1,6,222,0.3,222,522,1.2,4,0,1,0,0,"NO","subcampeon"
"1976-77","A. Bravo",34,6,,26,2,5,1,0,0,1,2,,,,192,,231,0,,6,1,,,,"NO","subcampeon"
"1971-72","A. Bravo",29,2,,3,0,1,1,0,0,0,0,,,,333,,667,0,,2,1,,,,"NO","subcampeon"
"1970-71","A. Bravo",28,7,,24,1,4,0,0,0,1,2,,,,167,,167,0,,4,0,,,,"NO","campeon"
"1969-70","A. Bravo",27,3,,10,0,0,0,0,0,0,0,,,,0,,0,0,,0,0,,,,"NO","subcampeon"
"1968-69","A. Bravo",26,9,,35,7,11,3,0,0,2,1,,,,314,,0.4,0,,14,3,,,,"NO","campeon"
"1966-67","A. Bravo",24,5,,21,4,6,1,0,0,3,0,,,,286,,333,0,,7,1,,,,"NO","subcampeon"
"1965-66","A. Bravo",23,6,,27,2,5,0,0,0,0,0,,,,185,,185,0,,5,0,,,,"NO","campeon"
"1964-65","A. Bravo",22,5,,13,4,7,2,0,0,5,1,,,,538,,692,0,,9,2,,,,"NO","campeon"
