"","years","edad","w","l","w-l%","era","g","gs","cg","sho","sv","ip","h","r","er","hr","bb","so","whip","h/9","hr/9","bb/9","so/9","so/bb","bk","refuerzo"
"170","2009-10","25","0","0","","5.40","3","0","0","0","0","1.2","1","1","1","0","1","1","1.200","5.40","0.00","5.40","5.40","1.0000","0","NO"
"171","2009-10","21","0","0","","0.00","1","0","0","0","0","2.0","1","0","0","0","0","0","0.500","4.50","0.00","0.00","0.00","","0","NO"
"172","2009-10","19","0","0","","","1","0","0","0","0","0.0","1","0","0","0","0","0","","","","","","","0","NO"
"173","2009-10","28","0","0","","13.50","1","0","0","0","0","1.1","4","2","2","0","0","0","3.000","27.00","0.00","0.00","0.00","","0","NO"
"174","2013-14","28","0","0","","10.38","5","3","0","0","0","13.0","18","16","15","2","7","15","1.923","12.46","1.38","4.85","10.38","2.1429","0","NO"
"175","2013-14","30","0","2","0.0000","6.17","4","3","0","0","0","11.2","14","11","8","0","8","10","1.886","10.80","0.00","6.17","7.71","1.2500","0","NO"
"176","2013-14","27","2","0","1.0000","3.27","2","2","0","0","0","11.0","10","4","4","2","1","10","1.000","8.18","1.64","0.82","8.18","10.0000","0","NO"
"177","2013-14","29","0","0","","2.13","4","2","0","0","0","12.2","16","6","3","1","6","9","1.737","11.37","0.71","4.26","6.39","1.5000","0","NO"
"178","2013-14","29","0","0","","4.26","7","0","0","0","0","6.1","12","7","3","1","4","9","2.526","17.05","1.42","5.68","12.79","2.2500","0","NO"
"179","2013-14","23","0","1","0.0000","4.50","2","2","0","0","0","10.0","10","5","5","3","2","9","1.200","9.00","2.70","1.80","8.10","4.5000","0","NO"
"180","2013-14","32","0","0","","6.75","6","0","0","0","0","5.1","6","4","4","1","2","6","1.500","10.13","1.69","3.38","10.13","3.0000","0","NO"
"181","2013-14","31","1","2","0.3333","5.68","8","0","0","0","0","6.1","7","4","4","0","6","6","2.053","9.95","0.00","8.53","8.53","1.0000","0","NO"
"182","2013-14","23","0","0","","6.75","8","0","0","0","0","6.2","8","6","5","1","8","5","2.400","10.80","1.35","10.80","6.75","0.6250","0","NO"
"183","2013-14","23","1","0","1.0000","2.70","9","0","0","0","0","6.2","8","4","2","0","4","5","1.800","10.80","0.00","5.40","6.75","1.2500","1","SI"
"184","2013-14","29","0","0","","6.75","5","0","0","0","0","4.0","5","3","3","1","3","4","2.000","11.25","2.25","6.75","9.00","1.3333","0","NO"
"185","2013-14","34","0","1","0.0000","8.31","5","0","0","0","0","4.1","5","4","4","1","2","4","1.615","10.38","2.08","4.15","8.31","2.0000","0","NO"
