years,jugador,edad,g,pa,ab,r,h,2b,3b,hr,rbi,sb,cs,bb,so,avg,obp,slg,ops,ir,rc,tb,xb,hbp,sh,sf,refuerzo,ronda,resultado
2009-10,K. Howard,28,32,105,83,14,21,2,2,2,12,4,1,15,16,0.25,363,398,0.76,95,12,33,6,1,3,3,NO,regular,Eliminado
2009-10,J. Macias,37,19,86,80,11,21,3,0,0,5,3,2,5,8,0.26,306,0.3,606,56,7.3,24,3,0,1,0,NO,regular,Eliminado
2009-10,D. Paisano,22,43,88,74,24,17,5,2,2,9,7,2,10,20,0.23,345,432,777,98,11,32,9,3,1,0,NO,regular,Eliminado
2009-10,W. González,35,20,65,58,7,17,4,0,1,10,0,0,4,6,0.29,354,414,768,96,8.5,24,5,2,0,1,NO,regular,Eliminado
2009-10,R. Salazar,30,11,34,31,4,10,0,0,1,3,2,0,3,8,0.32,382,419,802,105,5,13,1,0,0,0,NO,regular,Eliminado
2009-10,B. Canizares,30,11,43,35,3,10,3,0,0,5,0,0,6,5,0.29,395,371,767,97,5.1,13,3,1,0,1,NO,regular,Eliminado
2009-10,J. Celis,23,14,36,35,2,7,3,1,1,6,0,0,1,9,0.2,222,429,651,62,3.3,15,5,0,0,0,NO,regular,Eliminado
2009-10,E. Escobar,20,10,30,26,4,7,2,1,0,2,2,0,1,6,0.27,296,423,719,82,3.3,11,3,0,3,0,NO,regular,Eliminado
2009-10,G. Rodríguez,31,8,31,26,5,6,0,0,1,3,0,0,4,5,0.23,355,346,701,80,3.2,9,1,1,0,0,NO,regular,Eliminado
2009-10,M. Piña,22,13,27,21,2,5,3,0,0,2,0,1,2,5,0.24,407,381,788,103,3.3,8,3,4,0,0,NO,regular,Eliminado
2009-10,L. Hernández,25,3,11,11,2,4,1,1,0,3,0,0,0,1,0.36,364,636,1,151,2.5,7,2,0,0,0,NO,regular,Eliminado
2009-10,J. Velandia,34,24,20,15,1,2,0,0,0,1,1,0,4,4,0.13,0.3,133,433,15,0.6,2,0,0,0,1,NO,regular,Eliminado
2009-10,A. Rodríguez,17,12,12,11,2,2,0,1,0,0,0,0,0,2,0.18,182,364,545,36,0.7,4,1,0,1,0,NO,regular,Eliminado
2009-10,R. Pérez ,20,3,5,5,0,2,0,0,0,1,0,0,0,0,0.4,0.4,0.4,0.8,106,0.8,2,0,0,0,0,NO,regular,Eliminado
2009-10,H. Sánchez,20,1,4,4,0,2,1,0,0,1,0,0,0,0,0.5,0.5,0.75,1.25,215,1.5,3,1,0,0,0,NO,regular,Eliminado
2009-10,E. Adrianza,20,8,10,8,1,1,0,0,0,0,0,1,0,3,0.13,222,125,347,-9,0.2,1,0,1,1,0,NO,regular,Eliminado
2009-10,R. Ortega,18,5,7,5,0,1,0,0,0,1,0,0,2,2,0.2,429,0.2,629,67,0.4,1,0,0,0,0,NO,regular,Eliminado
2009-10,L. Ortiz,17,1,3,3,1,1,0,0,0,0,0,0,0,1,0.33,333,333,667,71,0.3,1,0,0,0,0,NO,regular,Eliminado
2009-10,J. Morelli,19,1,3,2,1,1,0,0,0,0,0,0,0,0,0.5,0.5,0.5,1,157,0.5,1,0,0,1,0,NO,regular,Eliminado
2009-10,H. Meneses,18,1,2,2,0,1,0,0,0,0,0,0,0,1,0.5,0.5,0.5,1,157,0.5,1,0,0,0,0,NO,regular,Eliminado
2009-10,E. Trejo,20,1,4,4,0,1,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.5,28,0.3,1,0,0,0,0,NO,regular,Eliminado
2009-10,J. Gualdron,22,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,NO,regular,Eliminado
2009-10,P. Mendoza,18,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,NO,regular,Eliminado
2009-10,M. Davalillo,19,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,NO,regular,Eliminado
2009-10,L. Ochoa,20,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,,0,0,0,0,0,NO,regular,Eliminado
2009-10,J. González,22,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,0,0,0,0,0,NO,regular,Eliminado
2008-09,O. Salazar,30,49,213,179,38,63,14,2,6,26,2,1,32,22,0.35,451,553,1004,158,44.6,99,22,1,0,1,NO,regular,Eliminado
2008-09,G. Blanco,25,48,218,172,39,60,15,4,2,22,6,4,37,29,0.35,464,517,982,153,41.3,89,21,1,7,1,NO,regular,Eliminado
2008-09,M. Ramírez,24,50,219,190,42,57,14,1,15,53,0,1,23,57,0.3,393,621,1014,158,46.4,118,30,6,0,0,NO,regular,Eliminado
